NOVELA,AÑO,CANAL,PROTAGONISTAS,¿DE QUE SE TRATA LA NOVELA?,IMAGEN,LINK COLUMNA 1 ENTREGA,LINK COLUMNA 2 ENTREGA,LINK COLUMNA 3 ENTREGA,LINK COLUMNA 4 ENTREGA,LINK COLUMNA 5 ENTREGA,LINK COLUMNA,GUIONISTA,,
Resistiré,2003,Telefe,"Pablo Echarri, Celeste Cid","Diego, un joven diseñador de ropa, queda envuelto en la red criminal de Mauricio Doval, un empresario siniestro que trafica órganos y sangre. Mientras intenta destruirlo, Diego se enamora perdidamente de Julia, la prometida de Doval, desatando un oscuro juego de poder, obsesión y supervivencia. Temas que toca: Valores tradicionales (él, su familia) frente a la marginalidadVisión noventera/dosmilera de la diversidad: el hermano trolo y la amiga medio zorra, pero todo bienAmor entre gente más grande y lo interesante que pasa entre la pareja de Fanego y PolittiTráfico de órganos, experimentos médicos y corporaciones oscurasEl mal absoluto, manipulación psicológica y supervivencia",https://drive.google.com/file/d/15X7WLb9UP2JpHbWbbAq61duzvMuEZSd8/view?usp=share_link,https://www.youtube.com/watch?v=9Ku39ZlrArI&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=143,,,,,,"Gustavo Belatti, Mario Segade",,
El deseo,2004,Telefe,"Natalia Oreiro, Soledad Silveyra","Carmen, una mujer que se dedica al varieté, llega al pueblo de Las Brisas buscando un nuevo comienzo. Sin embargo, se topa con un lugar dominado por la ambición, los secretos oscuros de sus habitantes y la disputa por las aguas termales,donde el deseo y la traición mueven las fichas de todos. Temas que toca: Ambición, codicia y disputas por el poder localSecretos de pueblo chico, falsas apariencias e hipocresía socialEl deseo, la pasión prohibida y la seducción como manipulaciónLa búsqueda de la verdad, la culpa y la redención",https://drive.google.com/file/d/1xcmKXE1UeYE9ICDP9ckk9jZbIPvMcnj5/view?usp=share_link,,https://www.youtube.com/watch?v=qOBsfUn2ong&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=130,https://www.youtube.com/watch?v=hQtoO0APJ1c&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=129,,,,"Gustavo Belatti, Mario Segade",,
Padre coraje,2004,Canal 13,"Facundo Arana, Nancy Dupláa, Leonor Benedetto,Nora Cárpena, Raúl Rizzo, Carina Zampini","Coraje, un noble e idealista joven que lidera una banda de ajusticiadores en la Argentina de los años 50, llega al pueblo de La Cruz para investigar el asesinato de Alejandro Guerrico y limpiar su propio nombre. Para ocultar su identidad, se hace pasar por el nuevo párroco del pueblo, el padre Juan. Sin embargo, su plan se complica al enamorarse de Clara Guerrico, la devota e idealista hija del hombre asesinado, desatando un intenso conflicto entre sus votos religiosos simulados, la lucha por la justicia y una red de logias oscuras que dominan el pueblo. Temas que toca: El amor prohibido entre un (falso) sacerdote y una mujer del puebloLa lucha por la justicia y la figura del héroe popular tipo ""El Zorro""Logias secretas, poder local, hipocresía religiosa y corrupción políticaDoble identidad, secretos del pasado y la fe en contextos de injusticia",https://drive.google.com/file/d/1z8vvMibDcIpbUsElGLXdo9KwZN9fnGxU/view?usp=share_link,https://www.youtube.com/watch?v=SXtiQtwkXLs&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=1320,https://www.youtube.com/watch?v=1VEu33a5WIQ&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=1312,https://www.youtube.com/watch?v=iAf-mcIFhMk&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=1298,https://www.youtube.com/watch?v=esoPFKG4mo4&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=1290,https://www.youtube.com/watch?v=pEL27kmqcSo&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=1282,https://www.youtube.com/watch?v=Cn30Usm8uUI&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=1274,"Marcos Carnevale, Marcela Guerty",,
Amor en custodia,2005,Telefe,"Osvaldo Laport, Soledad Silveyra","Juan Manuel Aguirre, un hombre de campo humilde y recto, es contratado como custodio personal de Paz Achaval Urien, una adinerada e influyente empresaria. A pesar de las marcadas diferencias de clase, los compromisos matrimoniales de ambos y los peligros que los rodean, surge entre ellos una pasión inevitable. Temas que toca: Amor de gente medio grande y segundas oportunidades pasionalesRelaciones entre distintas clases sociales y choque de mundosLealtad, deber profesional y protección frente al peligroInfidelidad, secreto y matrimonios de apariencia",https://drive.google.com/file/d/1RyPSG9hzUf4a2JCFLclnC6DVo3uQqAnI/view?usp=share_link,https://www.youtube.com/watch?v=9YYrpS9x67I&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=140,,,,,,"Marcela Citterio, Enrique Estevanez ",,
Montecristo,2006,Telefe,"Pablo Echarri, Paola Krum, Joaquin Furriel, Viviana Saccone","Santiago Díaz Herrera, un joven y prometedor abogado, es traicionado por su mejor amigo Marcos Lombardo y dado por muerto en Marruecos bajo las órdenes del padre de este, un poderoso e impune empresario vinculado a los crímenes de la dictadura. Diez años después, Santiago regresa con una nueva identidad para ejecutar una fría y calculada venganza contra quienes destruyeron su vida y le robaron al amor de su vida, Laura. Temas que toca: La venganza y la justicia contrapuestas al perdón y la redenciónApropiación de niños y la memoria histórica vinculada a los crímenes de la última dictadura militarLa impunidad de las élites, la corrupción del poder y la traición entre amigosLa fuerza del amor verdadero capaz de resistir el paso del tiempo, el dolor y las mentiras",https://drive.google.com/file/d/1pZJDpbVyrmJP0mdCXuFG5avuf_sej3LY/view?usp=share_link,https://www.youtube.com/watch?v=5vZ4RqQuYDQ&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=1402,https://www.youtube.com/watch?v=tEG5dntW3ww&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=1401,https://www.youtube.com/watch?v=j3saHTBQCVQ&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=1397,https://www.youtube.com/watch?v=dHFtXCrpnKw&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=1388,,,"Adriana Lorenzón, Marcelo Camaño
",,
Vientos de agua,2006,Canal 13,"Ernesto Alterio, Eduardo Blanco, Héctor Alterio","José Olaya, un joven asturiano, huye a la Argentina en 1934 tras un atentado minero. Décadas después, en 2001, su hijo Ernesto, un arquitecto argentino afectado por la crisis económica del ""corralito"", realiza el trayecto inverso y emigra a España en busca de un futuro. Temas que toca: La emigración, el exilio económico y el camino cruzado intergeneracional entre España y ArgentinaLa memoria histórica, la identidad y la búsqueda de las raíces familiares a través del tiempoEl choque de épocas: las luchas obreras de los años 30 frente a la crisis social y económica argentina de 2001El desarraigo, la soledad del migrante, la xenofobia y la reconstrucción del hogar lejos de la patria",https://drive.google.com/file/d/1oKz36oG0U9v3EdU1bS3l8HW33xNhO0SB/view?usp=share_link,https://www.youtube.com/watch?v=AuS9iagNAVU&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=1779,https://www.youtube.com/watch?v=QYAefnlo1aU&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=1769,,,,,"Juan José Campanella, Juan Pablo Doménech, Alejo Flah, Áurea Martínez, Aída Bortnik.",,
Socias,2008,Canal 13,"Mercedes Morán, Andrea Pietra, Nancy Dupláa","Inés, Dolores y Astudillo, tres abogadas con personalidades y vidas muy distintas, se asocian para llevar adelante un bufete de abogados. Entre tribunales, casos complejos y su vida cotidiana, navegan los desafíos de la madurez, el amor, la independencia y la búsqueda de equilibrio personal. Temas que toca: Mujeres que laburan y enfrentan problemas bastante reales en la profesionalidad y la vida cotidianaMirada problematizadora de la maternidad (mandatos, dificultades para conciliar y decidir sobre el propio cuerpo)Amistad, lealtad y solidaridad femenina en el ámbito laboral y personalDivorcio, relaciones modernas y la búsqueda de independencia en mujeres adultas",https://drive.google.com/file/d/1djbXMwKww4_gdh6R7LTiMvE40QkUNGNY/view?usp=share_link,https://www.youtube.com/watch?v=73mvDU5coG0&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=134,https://www.youtube.com/watch?v=DFucnxvY10Y&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=133,,,,1-https://docs.google.com/document/d/1tOGe5O6B3wW3z654Huojb-gsRZAudFcP5u8f4Yq8JtA/edit; 2- https://docs.google.com/document/d/12FfrSmHt3b0RTJ8uY6b1SA7eT-9OYQCfO-hgjStg0h4/edit,"Marta Betoldi, Silvina Frejdkes (Pol-ka, Pablo Fischerman)",,
Vidas Robadas,2008,Telefe,"Facundo Arana, Soledad SilveyraJuan Gil Navarro, Mónica AntonópulosVirginia Innocenti, Romina RicciJorge Marrale, Sofia Elliot, Adrian Navarro","Bautista Amaya, un antropólogo que sufre el secuestro y desaparición de su esposa en el día de su casamiento, emprende una búsqueda desesperada que lo lleva a destapar una red de trata de personas. En su camino se cruza con Ana, una fotógrafa comprometida que busca la verdad sobre su origen, uniendo fuerzas contra un poderoso e impune grupo criminal. Temas que toca: Denuncia directa y visibilización de la trata de personas con fines de explotación sexualLa complicidad de las redes de poder, la impunidad política, judicial y policialLa búsqueda incesante de seres queridos desaparecidos y el valor de la justiciaEl dolor trasformado en lucha colectiva, la valentía y el amor en contextos de extrema violencia",https://drive.google.com/file/d/1GvRZcUtHpL--R0lKL85XclsTVmzteG-T/view?usp=sharing,https://www.youtube.com/watch?v=WqC-iaDdpN4&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=1423,https://www.youtube.com/watch?v=4BSweFIYDzw&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=1421,https://www.youtube.com/watch?v=E7kqErS65TU&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=1416,,,,"Marcelo Camaño, Guillermo Salmerón
",,
Botineras,2009,Telefe,"Nicolás Cabré, Romina Gaetani, Florencia Peña","Marga, Chigüita y Cristian viven rodeados del lujo y la presión del fútbol profesional. Tras un oscuro crimen, una policía encubierta se infiltra en el ambiente para investigar a los futbolistas y al selecto grupo de mujeres que se vinculan con ellos por dinero, fama e interés, descubriendo una red de encubrimientos y ambición. Temas que toca: Interesante mirada sobre algo parecido al trabajo sexual (botineras, acompañantes de lujo y favores por conveniencia económica)El lado oscuro, la corrupción y los excesos en el negocio del fútbol profesionalLa homosexualidad tabú y reprimida en el deporte de alto rendimientoInfiltración, investigaciones policiales y crímenes impunesFama, manipulaciones mediáticas y ambición sin límites",https://drive.google.com/file/d/1IqAbMAnJFQSo4v8rFerwPUBj9ezcdpDT/view?usp=share_link,https://www.youtube.com/watch?v=wlia9rM7PeI&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=150,,,,,,"Esther Feldman, Alejandro Maci, Guillermo Salmerón, Nuri Abramowicz, Alejandro Quesada, Martín Méndez, Rodolfo Cela",,
Valientes,2009-2010,Canal 13,"Luciano Castro, Julieta Díaz, Arnaldo André","Las hermanos Sosa crecen separados tras la muerte de su padre y la pérdida de sus tierras a manos del despiadado Laureano Gómez Acuña. Años después, se reencuentran y traman una venganza conjunta trabajando en un taller mecánico frente a la mansión de su enemigo, pero sus planes se complican cuando se enamoran de las hijas y la esposa del hombre que arruinó sus vidas. Temas que toca: Valores tradicionales, la lealtad y la hermandad por encima de todoLa elección del amor verdadero: que la Kloster elija a Mariano Martínez y no al otro que es malo (Heredia)Venganza, justicia por mano propia y disputas de tierrasSecretos de identidad, mentiras familiares y redención amorosa",https://drive.google.com/file/d/1jWN_3jvrKQxciUFM4es-TvRpdG_M3egT/view?usp=share_link,https://www.youtube.com/watch?v=RtCLB8kaWoA&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=147,,,,,,"Marcos Carnevale, Lily Ann Martin",,
Malparida,2010-2011,Canal 13,"Juana Viale, Gonzalo Heredia, Raúl Taibo","Renata se acerca a la adinerada familia Uribe para vengar el suicidio de su madre, causado años atrás por el poderoso Lorenzo Uribe. Con frialdad y manipulación, planea enamorar a Lorenzo para destruirlo, pero su plan se complica cuando se enamora de Lautaro, el propio hijo de su enemigo. Temas que toca: Ella es mala y es la protagonistaVenganza despiadada y obsesión por el pasadoAmor prohibido e imposible entre rivalesManipulación, mentiras y secretos de la alta sociedad",https://drive.google.com/file/d/1-KuolIFVe0McyNoq4f3jzS3xxoHRowqI/view?usp=share_link,https://www.youtube.com/watch?v=MMlkWQSV_7Q&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=145,,,,,,"Marcos Carnevale, Lily Ann Martin, Pablo Junovich, Cecilia Guerty",,
El elegido,2011,Telefe,"Pablo Echarri, Paola Krum","Andrés Bilbao, un ambicioso abogado dispuesto a todo por ascender en la firma de Oscar Nevares Sosa, entra en contacto con la secta masónica y oscura que maneja el bufete. Su perspectiva cambia cuando conoce a Mariana, una idealista abogada que busca justicia por el asesinato de su padre y lo enfrenta a sus propios límites éticos. Temas que toca: La ambición profesional, la corrupción y los dilemas éticos en el poderSectas, logias masónicas, ocultismo y misticismoLa lucha por la justicia versus la codicia personalDiscapacidad e inclusión (destacada representación del autismo a través del personaje de la hija)Amor, manipulación y redención",https://drive.google.com/file/d/1njhGeufsYkHGNuDNaDzTWvFASMlHK4WN/view?usp=share_link,https://www.youtube.com/watch?v=M0sV0wxpbRo&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=151,,,,,,"Adriana Lorenzón, Gustavo Belatti",,
La dueña,2012,Telefe,"Mirtha Legrand, Florencia Bertotti, Benjamín Vicuña","Sofia Ponte, una poderosa e influyente empresaria del rubro cosmético, siente que sus herederos solo esperan su muerte para repartir el imperio. Para descubrir quiénes son verdaderamente leales y quiénes buscan destruirla, simula abandonar el control de sus empresas y finge debilidad, desencadenando una feroz guerra familiar por el poder. Temas que toca: La ambición, la codicia y la disputa despiadada por el poder económicoTraiciones familiares, secretos ocultos e hipocresía en la alta sociedadMatriarcado, empoderamiento femenino y liderazgo empresarial en la madurezManipulación, estrategias de prueba y supervivencia personal",https://drive.google.com/file/d/14Ci5EAMswFDtmp23y_5t3slzb0I_i5l2/view?usp=share_link,https://www.youtube.com/watch?v=tSCmnJnWTeE&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=138,,,,,,Marcelo Camaño (Telefe/Endemol),,
Mis amigos de siempre,2013,Canal 13,"Agustina Cherri, Nicolás Cabré, Gonzalo Heredia, Nicolás Vázquez, Calu Rivero, Emilia Attias","Simón y Tanya (o Rocío) se reencuentran en medio de las tensiones de la vida adulta, mientras el grupo de amigos de la juventud intenta reconstruir sus lazos. En la historia del personaje de Nicolás Cabré, el desgaste de la convivencia y el peso de la rutina familiar llevan a la ruptura de su pareja, exponiendo las dificultades reales de sostener un proyecto en común. Temas que toca: ""La mapaternidad nos destruyó"" (agotamiento, pérdida de identidad de pareja y desgaste de la rutina tras tener hijos)El paso del tiempo, el reencuentro con los amigos de la juventud y el contraste con las responsabilidades adultasInfidelidades, desencuentros amorosos y fracasos matrimoniales abordados desde la cotidianeidadAmistad, lealtad y el deporte/club como refugio afectivo",https://drive.google.com/file/d/17w_Ki8KPo7nN2NSRuzmKqnI0OK-Yi9sb/view?usp=share_link,https://www.youtube.com/watch?v=UFFagPODTYk&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=120,https://www.youtube.com/watch?v=v1vhbXy9TDc&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=119,,,,,"Jorge Mestro, Claudio Lacelli",,
"Taxxi, amores cruzados",2013,Telefe,"Gabriel Corrado, Rocío Igarzábal, Nicolás Riera, Catherine Fulop","Martin, un taxista marcado por la trágica muerte de su esposa, vive volcado al trabajo y a la crianza de su hijo. Su vida da un vuelco cuando conoce a Tania, una joven idéntica a su esposa fallecida, lo que desencadena una red de pasiones,secretos de identidad y obsesiones del pasado. Temas que toca: Duelo, duelo no resuelto y la incapacidad de soltar el pasadoObsesión por el parecido físico y la proyección del amor perdidoDiferencias de edad, secretos familiares y dobles vidasEl taxi y la noche urbana como escenario de confidencias y encuentros fortuitos",https://drive.google.com/file/d/1tdLHPYY-_8jUX7g3Z_0q43XOP4z8ukwO/view?usp=share_link,https://www.youtube.com/watch?v=9o8S338nxVo&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=122,https://www.youtube.com/watch?v=yOVzxASehIw&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=121,,,,,"Osvaldo Canis, Marisa Quiroga",,
Esperanza mía,2015,Canal 13,"Lali Espósito, Mariano Martínez","Julia Correa, una joven que huye de su pueblo tras denunciar a una fábrica contaminante, busca refugio en un convento haciéndose pasar por la novicia ""Esperanza"". Allí conoce al padre Tomás, un sacerdote comprometido con la comunidad,desatando una atracción prohibida entre la fe, el secreto de su verdadera identidad y la vocación. Temas que toca: El amor prohibido entre un sacerdote y una falsa noviciaSecretos de identidad y la búsqueda de justicia frente a la corrupción corporativaLa vida en el convento, la fe y los dilemas de la vocación religiosaLa música, la alegría y los lazos de amistad entre mujeres en un entorno comunitario",https://drive.google.com/file/d/1JxkpucVnBdJWq97EWdf3HjGTtat20qtV/view?usp=share_link,https://www.youtube.com/watch?v=YQ6Eoxe9R4s&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=125,https://www.youtube.com/watch?v=IiaZsWZHA2s&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=124,https://www.youtube.com/watch?v=VEfNMQBJQT8&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=123,,,,"Marta Betoldi, Claudio Lacelli, Lily Ann Martin",,
Los ricos no piden permiso,2016,Canal 13,"Luciano Castro, Araceli González, Juan Darthés","La historia se desarrolla en la estancia Santa Elena, propiedad de la adinerada familia Villalba. Tras la muerte del patriarca, sus tres hijos varones se disputan la millonaria herencia, las tierras y la administración del lugar. En este entorno rural se cruzan los caprichos de la alta sociedad con el mundo de la peonada, desencadenando pasiones prohibidas, ambición desmedida y oscuros secretos familiares. Temas que toca: Relaciones amorosas y choque de clases entre los dueños de la estancia y los peones/sirvientesLa ambición, la codicia y las disputas por herencias y tierras de campoAmor prohibido, obsesiones y matrimonios arreglados por interésTraiciones, secretos oscuros de familia y venganza en el ámbito rural",https://drive.google.com/file/d/11eeWfamOpZSh9mY-A34lw3Lb2ZiiTZvx/view?usp=share_link,https://www.youtube.com/watch?v=PACvubSVxls&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=149,,,,,,"Marcos Carnevale, Willy Van Broock, Jessica Valls, Christian Basilis",,
La leona,2016,Telefe,"Nancy Dupláa, Pablo Echarri","María Leone, una obrera y delegada sindical de la fábrica textil Liberman, lidera la lucha de sus compañeros para evitar el cierre y vaciamiento de la empresa. En medio del conflicto laboral, María se enamora de Franco Uribe, un profesional contratado por los dueños para concretar la quiebra de la fábrica, desencadenando un dilema entre la pasión y la lealtad de clase. Temas que toca: Toda una oda al sindicalismo y la organización trabajadora frente al vaciamientoUna mujer líder: empoderamiento femenino, convicción y resistencia popularConflicto ético y romance atravesado por la lucha de clasesEspeculación financiera, corrupción corporativa y la defensa del puesto de trabajo",https://drive.google.com/file/d/1Oa_bP5Z3Yu-9PR-uThLHupN3H5BBBHQd/view?usp=share_link,https://www.youtube.com/watch?v=cM7rudnOzAs&list=PLiLOpIZNFJMiCYTZTq_cHJlU72mtIeUAA&index=152,,,,,,"Pablo Lago, Susana Cardozo",,
Golpe al corazon,2017,Telefe,"Sebastián Estevanez, Eleonora Wexler, Miguel Ángel Rodríguez, Viviana Saccone, Victorio D' Alessandro,María del Cerro, Laura Laprida, Ramiro Blas, Manuela Pal, Claudia Lapacó, Sabrina Rojas, Esteban Pérez,Georgina Barbarossa, Julia Calvo, Germán Kraus","Rafael Farías, un boxeador que abandona el ring tras la trágica muerte de su esposa en un accidente de tránsito, rehace su vida trabajando como enfermero en la Clínica del Plata. Allí conoce a Marcela Ríos, una médica cirujana que perdió la vista a raíz de un ataque violento y recuperó la visión gracias a un trasplante de córneas, ignorando que sus ojos eran los de la difunta mujer de Rafael. Temas que toca: El amor atravesado por el destino, la pérdida y la conexión invisible del trasplante de órganosEl boxeo como disciplina, superación y el retiro obligado por el dolor del pasadoLa vocación médica, la ética profesional y la vida dentro de una clínicaSuperación de traumas, segundas oportunidades pasionales y secretos de identidad",https://drive.google.com/file/d/1PDuANmfLbuEb0iNtMEuFp-zK4ZteRsSR/view?usp=share_link,,,https://www.youtube.com/watch?v=-aZw6-Iqzl0&list=PLZcf6JgSuiNl3vJMBi1B5gxRkLSso5nEw&index=1365,,,,Quique Estevanez,,
